product_id,subcategory_id,brand,material,vendor_name,min_order_qty,max_order_qty,launch_date,rating,occasion,style,season,gender,product_name,product_desc,created_at,updated_at
12,3,H&M,Rayon,Castillo Group,1,3,2025-06-19 00:43:36+05:30,0,DailyWear,Formal,Summer,Women,Women Formal Crop-top - Rayon | 'Summer',This Rayon Crop-top is perfect for Summer days. Designed with a Formal fit and it complements any Women's wardrobe.,2025-06-19 00:43:36+05:30,2025-06-19 00:43:36+05:30
13,3,Zara,Rayon,"Woods, Rose and Smith",1,3,2025-06-15 20:56:04+05:30,0,Travel,Formal,Summer,Women,Women Formal Crop-top - Rayon | 'Summer',This Rayon Crop-top is perfect for Summer days. Designed with a Formal fit and it complements any Women's wardrobe.,2025-06-15 20:56:04+05:30,2025-06-15 20:56:04+05:30
14,3,Forever 21,Modal,Clark-Fox,1,3,2025-06-20 02:40:40+05:30,0,Festival,Casual,Summer,Women,Women Casual Crop-top - Modal | 'Summer',This Modal Crop-top is perfect for Summer days. Designed with a Casual fit and it complements any Women's wardrobe.,2025-06-20 02:40:40+05:30,2025-06-20 02:40:40+05:30
15,3,Shein,Cotton,Castillo Group,1,3,2025-06-18 06:34:43+05:30,0,Festival,Formal,Summer,Women,Women Formal Crop-top - Cotton | 'Summer',This Cotton Crop-top is perfect for Summer days. Designed with a Formal fit and it complements any Women's wardrobe.,2025-06-18 06:34:43+05:30,2025-06-18 06:34:43+05:30
16,4,FabIndia,Chanderi,Castillo Group,1,3,2025-06-08 22:26:30+05:30,0,Travel,Formal,Summer,Women,Women Formal Kurti - Chanderi | 'Summer',This Chanderi Kurti is perfect for Summer days. Designed with a Formal fit and it complements any Women's wardrobe.,2025-06-08 22:26:30+05:30,2025-06-08 22:26:30+05:30
17,4,W,Rayon,"Henderson, Berg and Lee",1,3,2025-06-18 22:06:05+05:30,0,Festival,Formal,Summer,Women,Women Formal Kurti - Rayon | 'Summer',This Rayon Kurti is perfect for Summer days. Designed with a Formal fit and it complements any Women's wardrobe.,2025-06-18 22:06:05+05:30,2025-06-18 22:06:05+05:30
18,4,Aurelia,Cotton,"Ross, Adams and Jones",1,3,2025-06-22 18:54:54+05:30,0,Office,Casual,Summer,Women,Women Casual Kurti - Cotton | 'Summer',This Cotton Kurti is perfect for Summer days. Designed with a Casual fit and it complements any Women's wardrobe.,2025-06-22 18:54:54+05:30,2025-06-22 18:54:54+05:30
19,4,Biba,Rayon,Dixon-Madden,1,3,2025-06-22 00:54:09+05:30,0,Office,Formal,Summer,Women,Women Formal Kurti - Rayon | 'Summer',This Rayon Kurti is perfect for Summer days. Designed with a Formal fit and it complements any Women's wardrobe.,2025-06-22 00:54:09+05:30,2025-06-22 00:54:09+05:30
20,4,Global Desi,Georgette,"Soto, Thompson and Singleton",1,3,2025-06-02 03:55:27+05:30,0,DailyWear,Formal,Summer,Women,Women Formal Kurti - Georgette | 'Summer',This Georgette Kurti is perfect for Summer days. Designed with a Formal fit and it complements any Women's wardrobe.,2025-06-02 03:55:27+05:30,2025-06-02 03:55:27+05:30
21,5,Zara,Twill,"Soto, Thompson and Singleton",1,3,2025-06-08 11:07:49+05:30,0,Office,Formal,Winter,Women,Women Formal Pant - Twill | 'Winter',"A stylish Pant made from Twill, ideal for Winter fashion. Tailored for Women who prefer Formal looks.",2025-06-08 11:07:49+05:30,2025-06-08 11:07:49+05:30
22,5,Van Heusen,Corduroy,"Soto, Thompson and Singleton",1,3,2025-05-23 22:32:25+05:30,0,DailyWear,Formal,Winter,Men,Men Formal Pant - Corduroy | 'Winter',"A stylish Pant made from Corduroy, ideal for Winter fashion. Tailored for Men who prefer Formal looks.",2025-05-23 22:32:25+05:30,2025-05-23 22:32:25+05:30
23,5,Dockers,Cotton,Heath Ltd,1,3,2025-06-08 20:27:55+05:30,0,Travel,Formal,Winter,Women,Women Formal Pant - Cotton | 'Winter',"A stylish Pant made from Cotton, ideal for Winter fashion. Tailored for Women who prefer Formal looks.",2025-06-08 20:27:55+05:30,2025-06-08 20:27:55+05:30
24,5,Marks & Spencer,Twill,Khan and Sons,1,3,2025-06-14 01:00:56+05:30,0,DailyWear,Casual,Summer,Men,Men Casual Pant - Twill | 'Summer',"A stylish Pant made from Twill, ideal for Summer fashion. Tailored for Men who prefer Casual looks.",2025-06-14 01:00:56+05:30,2025-06-14 01:00:56+05:30
25,5,Levi's,Wool,Dixon-Madden,1,3,2025-06-08 16:37:38+05:30,0,Office,Casual,Winter,Men,Men Casual Pant - Wool | 'Winter',"A stylish Pant made from Wool, ideal for Winter fashion. Tailored for Men who prefer Casual looks.",2025-06-08 16:37:38+05:30,2025-06-08 16:37:38+05:30
26,6,Wrangler,Raw Denim,"Henderson, Berg and Lee",1,3,2025-05-22 03:28:07+05:30,0,Office,Casual,Summer,Unisex,Unisex Casual Jeans - Raw Denim | 'Summer',"A stylish Jeans made from Raw Denim, ideal for Summer fashion. Tailored for Unisex who prefer Casual looks.",2025-05-22 03:28:07+05:30,2025-05-22 03:28:07+05:30
27,6,Levi's,Stretch Denim,"Soto, Thompson and Singleton",1,3,2025-06-10 19:51:05+05:30,0,Festival,Formal,Summer,Women,Women Formal Jeans - Stretch Denim | 'Summer',"A stylish Jeans made from Stretch Denim, ideal for Summer fashion. Tailored for Women who prefer Formal looks.",2025-06-10 19:51:05+05:30,2025-06-10 19:51:05+05:30
28,6,Lee,Cotton Blend,"Henderson, Berg and Lee",1,3,2025-06-01 07:13:44+05:30,0,Travel,Formal,Winter,Men,Men Formal Jeans - Cotton Blend | 'Winter',"A stylish Jeans made from Cotton Blend, ideal for Winter fashion. Tailored for Men who prefer Formal looks.",2025-06-01 07:13:44+05:30,2025-06-01 07:13:44+05:30
29,6,Pepe Jeans,Denim,Clark-Fox,1,3,2025-05-24 17:43:21+05:30,0,Travel,Casual,Summer,Unisex,Unisex Casual Jeans - Denim | 'Summer',"A stylish Jeans made from Denim, ideal for Summer fashion. Tailored for Unisex who prefer Casual looks.",2025-05-24 17:43:21+05:30,2025-05-24 17:43:21+05:30
30,6,Diesel,Cotton Blend,Clark-Fox,1,3,2025-05-26 15:33:22+05:30,0,DailyWear,Formal,Winter,Women,Women Formal Jeans - Cotton Blend | 'Winter',"A stylish Jeans made from Cotton Blend, ideal for Winter fashion. Tailored for Women who prefer Formal looks.",2025-05-26 15:33:22+05:30,2025-05-26 15:33:22+05:30
31,7,Mango,Chiffon,Dixon-Madden,1,3,2025-05-28 13:25:22+05:30,0,DailyWear,Formal,Summer,Women,Women Formal Skirt - Chiffon | 'Summer',"A stylish Skirt made from Chiffon, ideal for Summer fashion. Tailored for Women who prefer Formal looks.",2025-05-28 13:25:22+05:30,2025-05-28 13:25:22+05:30
32,7,ASOS,Satin,Dixon-Madden,1,3,2025-06-22 01:21:23+05:30,0,Travel,Formal,Summer,Women,Women Formal Skirt - Satin | 'Summer',"A stylish Skirt made from Satin, ideal for Summer fashion. Tailored for Women who prefer Formal looks.",2025-06-22 01:21:23+05:30,2025-06-22 01:21:23+05:30
33,7,Forever 21,Denim,Heath Ltd,1,3,2025-06-07 03:43:23+05:30,0,Travel,Casual,Summer,Women,Women Casual Skirt - Denim | 'Summer',"A stylish Skirt made from Denim, ideal for Summer fashion. Tailored for Women who prefer Casual looks.",2025-06-07 03:43:23+05:30,2025-06-07 03:43:23+05:30
34,7,H&M,Tulle,"Soto, Thompson and Singleton",1,3,2025-05-27 04:15:04+05:30,0,Office,Formal,Summer,Women,Women Formal Skirt - Tulle | 'Summer',"A stylish Skirt made from Tulle, ideal for Summer fashion. Tailored for Women who prefer Formal looks.",2025-05-27 04:15:04+05:30,2025-05-27 04:15:04+05:30
35,7,Zara,Chiffon,Khan and Sons,1,3,2025-06-18 07:48:57+05:30,0,Travel,Casual,Summer,Women,Women Casual Skirt - Chiffon | 'Summer',"A stylish Skirt made from Chiffon, ideal for Summer fashion. Tailored for Women who prefer Casual looks.",2025-06-18 07:48:57+05:30,2025-06-18 07:48:57+05:30
36,8,Puma,Cotton Blend,Dixon-Madden,1,3,2025-06-18 03:04:41+05:30,0,Office,Casual,Winter,Women,Women Casual Leggings - Cotton Blend | 'Winter',"A stylish Leggings made from Cotton Blend, ideal for Winter fashion. Tailored for Women who prefer Casual looks.",2025-06-18 03:04:41+05:30,2025-06-18 03:04:41+05:30
37,8,Jockey,Modal,"Ross, Adams and Jones",1,3,2025-05-30 04:33:12+05:30,0,Office,Formal,Winter,Women,Women Formal Leggings - Modal | 'Winter',"A stylish Leggings made from Modal, ideal for Winter fashion. Tailored for Women who prefer Formal looks.",2025-05-30 04:33:12+05:30,2025-05-30 04:33:12+05:30
38,8,Zivame,Cotton Blend,Heath Ltd,1,3,2025-06-15 10:40:12+05:30,0,Travel,Casual,Winter,Women,Women Casual Leggings - Cotton Blend | 'Winter',"A stylish Leggings made from Cotton Blend, ideal for Winter fashion. Tailored for Women who prefer Casual looks.",2025-06-15 10:40:12+05:30,2025-06-15 10:40:12+05:30
39,8,Nike,Spandex,"Ross, Adams and Jones",1,3,2025-06-17 17:55:37+05:30,0,Travel,Casual,Winter,Women,Women Casual Leggings - Spandex | 'Winter',"A stylish Leggings made from Spandex, ideal for Winter fashion. Tailored for Women who prefer Casual looks.",2025-06-17 17:55:37+05:30,2025-06-17 17:55:37+05:30
40,8,Adidas,Lycra,"Ross, Adams and Jones",1,3,2025-05-28 05:50:09+05:30,0,Festival,Formal,Winter,Women,Women Formal Leggings - Lycra | 'Winter',"A stylish Leggings made from Lycra, ideal for Winter fashion. Tailored for Women who prefer Formal looks.",2025-05-28 05:50:09+05:30,2025-05-28 05:50:09+05:30
41,9,Clarks,Faux Leather,Clark-Fox,1,3,2025-06-19 11:25:00+05:30,0,Travel,Formal,Summer,Unisex,Unisex Formal Shoes - Faux Leather | 'Summer',"Step out in style with these Shoes. Built for Summer comfort, designed for Unisex's [style] attire.",2025-06-19 11:25:00+05:30,2025-06-19 11:25:00+05:30
42,9,Puma,Suede,"Woods, Rose and Smith",1,3,2025-06-13 05:55:01+05:30,0,Travel,Casual,Summer,Women,Women Casual Shoes - Suede | 'Summer',"Step out in style with these Shoes. Built for Summer comfort, designed for Women's [style] attire.",2025-06-13 05:55:01+05:30,2025-06-13 05:55:01+05:30
43,9,Nike,Faux Leather,Khan and Sons,1,3,2025-05-26 10:01:51+05:30,0,Travel,Formal,Winter,Men,Men Formal Shoes - Faux Leather | 'Winter',"Step out in style with these Shoes. Built for Winter comfort, designed for Men's [style] attire.",2025-05-26 10:01:51+05:30,2025-05-26 10:01:51+05:30
44,9,Woodland,Canvas,"Woods, Rose and Smith",1,3,2025-06-12 21:09:25+05:30,0,DailyWear,Casual,Summer,Women,Women Casual Shoes - Canvas | 'Summer',"Step out in style with these Shoes. Built for Summer comfort, designed for Women's [style] attire.",2025-06-12 21:09:25+05:30,2025-06-12 21:09:25+05:30
45,9,Adidas,Suede,Heath Ltd,1,3,2025-06-12 11:50:13+05:30,0,Festival,Formal,Winter,Women,Women Formal Shoes - Suede | 'Winter',"Step out in style with these Shoes. Built for Winter comfort, designed for Women's [style] attire.",2025-06-12 11:50:13+05:30,2025-06-12 11:50:13+05:30
46,10,Converse,Rubber,Dixon-Madden,1,3,2025-05-31 21:18:54+05:30,0,Travel,Casual,Summer,Women,Women Casual Sneakers - Rubber | 'Summer',"Step out in style with these Sneakers. Built for Summer comfort, designed for Women's [style] attire.",2025-05-31 21:18:54+05:30,2025-05-31 21:18:54+05:30
47,10,Adidas,Rubber,Clark-Fox,1,3,2025-05-30 19:58:34+05:30,0,Office,Casual,Summer,Unisex,Unisex Casual Sneakers - Rubber | 'Summer',"Step out in style with these Sneakers. Built for Summer comfort, designed for Unisex's [style] attire.",2025-05-30 19:58:34+05:30,2025-05-30 19:58:34+05:30
48,10,Reebok,Knit Fabric,"Soto, Thompson and Singleton",1,3,2025-06-02 07:17:24+05:30,0,DailyWear,Casual,Winter,Men,Men Casual Sneakers - Knit Fabric | 'Winter',"Step out in style with these Sneakers. Built for Winter comfort, designed for Men's [style] attire.",2025-06-02 07:17:24+05:30,2025-06-02 07:17:24+05:30
49,10,Puma,Leather,Clark-Fox,1,3,2025-06-10 03:34:42+05:30,0,DailyWear,Formal,Winter,Unisex,Unisex Formal Sneakers - Leather | 'Winter',"Step out in style with these Sneakers. Built for Winter comfort, designed for Unisex's [style] attire.",2025-06-10 03:34:42+05:30,2025-06-10 03:34:42+05:30
50,10,Nike,Leather,"Soto, Thompson and Singleton",1,3,2025-06-22 11:42:30+05:30,0,Office,Casual,Summer,Women,Women Casual Sneakers - Leather | 'Summer',"Step out in style with these Sneakers. Built for Summer comfort, designed for Women's [style] attire.",2025-06-22 11:42:30+05:30,2025-06-22 11:42:30+05:30
51,11,Metro,EVA,Castillo Group,1,3,2025-05-25 04:55:04+05:30,0,Festival,Casual,Summer,Unisex,Unisex Casual Sandals - EVA | 'Summer',"Step out in style with these Sandals. Built for Summer comfort, designed for Unisex's [style] attire.",2025-05-25 04:55:04+05:30,2025-05-25 04:55:04+05:30
52,11,Crocs,Rubber,"Henderson, Berg and Lee",1,3,2025-05-25 19:01:53+05:30,0,Festival,Formal,Summer,Men,Men Formal Sandals - Rubber | 'Summer',"Step out in style with these Sandals. Built for Summer comfort, designed for Men's [style] attire.",2025-05-25 19:01:53+05:30,2025-05-25 19:01:53+05:30
53,11,Clarks,PU,Castillo Group,1,3,2025-06-06 08:18:45+05:30,0,Travel,Formal,Summer,Men,Men Formal Sandals - PU | 'Summer',"Step out in style with these Sandals. Built for Summer comfort, designed for Men's [style] attire.",2025-06-06 08:18:45+05:30,2025-06-06 08:18:45+05:30
54,11,Woodland,Rubber,"Soto, Thompson and Singleton",1,3,2025-05-27 03:45:09+05:30,0,DailyWear,Formal,Summer,Unisex,Unisex Formal Sandals - Rubber | 'Summer',"Step out in style with these Sandals. Built for Summer comfort, designed for Unisex's [style] attire.",2025-05-27 03:45:09+05:30,2025-05-27 03:45:09+05:30
55,11,Bata,Cork,Heath Ltd,1,3,2025-06-12 17:20:33+05:30,0,Travel,Formal,Summer,Unisex,Unisex Formal Sandals - Cork | 'Summer',"Step out in style with these Sandals. Built for Summer comfort, designed for Unisex's [style] attire.",2025-06-12 17:20:33+05:30,2025-06-12 17:20:33+05:30
56,12,Timberland,Rubber,Dixon-Madden,1,3,2025-06-17 06:36:18+05:30,0,DailyWear,Formal,Winter,Men,Men Formal Boots - Rubber | 'Winter',"Step out in style with these Boots. Built for Winter comfort, designed for Men's [style] attire.",2025-06-17 06:36:18+05:30,2025-06-17 06:36:18+05:30
57,12,Clarks,Suede,Huffman LLC,1,3,2025-06-01 09:21:30+05:30,0,Office,Casual,Winter,Women,Women Casual Boots - Suede | 'Winter',"Step out in style with these Boots. Built for Winter comfort, designed for Women's [style] attire.",2025-06-01 09:21:30+05:30,2025-06-01 09:21:30+05:30
58,12,H&M,Suede,Castillo Group,1,3,2025-06-18 01:49:46+05:30,0,Festival,Formal,Winter,Men,Men Formal Boots - Suede | 'Winter',"Step out in style with these Boots. Built for Winter comfort, designed for Men's [style] attire.",2025-06-18 01:49:46+05:30,2025-06-18 01:49:46+05:30
59,12,Dr. Martens,Rubber,Clark-Fox,1,3,2025-06-15 00:09:01+05:30,0,Office,Casual,Winter,Men,Men Casual Boots - Rubber | 'Winter',"Step out in style with these Boots. Built for Winter comfort, designed for Men's [style] attire.",2025-06-15 00:09:01+05:30,2025-06-15 00:09:01+05:30
60,12,Woodland,Suede,"Woods, Rose and Smith",1,3,2025-06-08 22:49:07+05:30,0,Festival,Formal,Winter,Women,Women Formal Boots - Suede | 'Winter',"Step out in style with these Boots. Built for Winter comfort, designed for Women's [style] attire.",2025-06-08 22:49:07+05:30,2025-06-08 22:49:07+05:30
61,13,Casio,Silicone,Khan and Sons,1,3,2025-06-02 18:01:35+05:30,0,Festival,Formal,Summer,Unisex,Unisex Formal Watches - Silicone | 'Summer',"Complete your outfit with this Watches, made with Silicone for the Summer season. Suits every Unisex's Formal mood.",2025-06-02 18:01:35+05:30,2025-06-02 18:01:35+05:30
62,13,Fossil,Titanium,Castillo Group,1,3,2025-06-02 14:49:17+05:30,0,DailyWear,Casual,Winter,Men,Men Casual Watches - Titanium | 'Winter',"Complete your outfit with this Watches, made with Titanium for the Winter season. Suits every Men's Casual mood.",2025-06-02 14:49:17+05:30,2025-06-02 14:49:17+05:30
63,13,Timex,Leather,"Soto, Thompson and Singleton",1,3,2025-06-07 09:27:45+05:30,0,DailyWear,Formal,Winter,Women,Women Formal Watches - Leather | 'Winter',"Complete your outfit with this Watches, made with Leather for the Winter season. Suits every Women's Formal mood.",2025-06-07 09:27:45+05:30,2025-06-07 09:27:45+05:30
64,13,Rolex,Titanium,Huffman LLC,1,3,2025-05-22 12:10:53+05:30,0,Office,Formal,Winter,Men,Men Formal Watches - Titanium | 'Winter',"Complete your outfit with this Watches, made with Titanium for the Winter season. Suits every Men's Formal mood.",2025-05-22 12:10:53+05:30,2025-05-22 12:10:53+05:30
65,13,Titan,Titanium,"Woods, Rose and Smith",1,3,2025-06-15 10:44:18+05:30,0,Office,Formal,Winter,Unisex,Unisex Formal Watches - Titanium | 'Winter',"Complete your outfit with this Watches, made with Titanium for the Winter season. Suits every Unisex's Formal mood.",2025-06-15 10:44:18+05:30,2025-06-15 10:44:18+05:30
66,14,Coach,Leather,Huffman LLC,1,3,2025-05-31 17:54:39+05:30,0,Office,Formal,Winter,Women,Women Formal Handbag - Leather | 'Winter',"Complete your outfit with this Handbag, made with Leather for the Winter season. Suits every Women's Formal mood.",2025-05-31 17:54:39+05:30,2025-05-31 17:54:39+05:30
67,14,Michael Kors,Faux Leather,"Ross, Adams and Jones",1,3,2025-06-11 06:01:09+05:30,0,DailyWear,Casual,Summer,Women,Women Casual Handbag - Faux Leather | 'Summer',"Complete your outfit with this Handbag, made with Faux Leather for the Summer season. Suits every Women's Casual mood.",2025-06-11 06:01:09+05:30,2025-06-11 06:01:09+05:30
68,14,Caprese,Leather,"Soto, Thompson and Singleton",1,3,2025-05-27 09:00:49+05:30,0,Festival,Formal,Summer,Women,Women Formal Handbag - Leather | 'Summer',"Complete your outfit with this Handbag, made with Leather for the Summer season. Suits every Women's Formal mood.",2025-05-27 09:00:49+05:30,2025-05-27 09:00:49+05:30
69,14,Baggit,Canvas,"Ross, Adams and Jones",1,3,2025-06-07 06:18:50+05:30,0,DailyWear,Casual,Summer,Women,Women Casual Handbag - Canvas | 'Summer',"Complete your outfit with this Handbag, made with Canvas for the Summer season. Suits every Women's Casual mood.",2025-06-07 06:18:50+05:30,2025-06-07 06:18:50+05:30
70,14,Hidesign,Nylon,Huffman LLC,1,3,2025-06-07 18:38:30+05:30,0,DailyWear,Formal,Summer,Women,Women Formal Handbag - Nylon | 'Summer',"Complete your outfit with this Handbag, made with Nylon for the Summer season. Suits every Women's Formal mood.",2025-06-07 18:38:30+05:30,2025-06-07 18:38:30+05:30
71,15,H&M,Canvas,Heath Ltd,1,3,2025-06-09 22:11:18+05:30,0,Office,Formal,Summer,Women,Women Formal Belt - Canvas | 'Summer',"Complete your outfit with this Belt, made with Canvas for the Summer season. Suits every Women's Formal mood.",2025-06-09 22:11:18+05:30,2025-06-09 22:11:18+05:30
72,15,Woodland,Leather,Khan and Sons,1,3,2025-06-14 05:33:24+05:30,0,DailyWear,Formal,Summer,Unisex,Unisex Formal Belt - Leather | 'Summer',"Complete your outfit with this Belt, made with Leather for the Summer season. Suits every Unisex's Formal mood.",2025-06-14 05:33:24+05:30,2025-06-14 05:33:24+05:30
73,15,Allen Solly,PU,Castillo Group,1,3,2025-05-29 22:58:47+05:30,0,Festival,Casual,Winter,Unisex,Unisex Casual Belt - PU | 'Winter',"Complete your outfit with this Belt, made with PU for the Winter season. Suits every Unisex's Casual mood.",2025-05-29 22:58:47+05:30,2025-05-29 22:58:47+05:30
74,15,Levi's,Suede,"Woods, Rose and Smith",1,3,2025-06-21 02:33:30+05:30,0,Travel,Formal,Summer,Men,Men Formal Belt - Suede | 'Summer',"Complete your outfit with this Belt, made with Suede for the Summer season. Suits every Men's Formal mood.",2025-06-21 02:33:30+05:30,2025-06-21 02:33:30+05:30
75,15,Tommy Hilfiger,Faux Leather,"Soto, Thompson and Singleton",1,3,2025-05-27 10:00:13+05:30,0,Festival,Casual,Winter,Men,Men Casual Belt - Faux Leather | 'Winter',"Complete your outfit with this Belt, made with Faux Leather for the Winter season. Suits every Men's Casual mood.",2025-05-27 10:00:13+05:30,2025-05-27 10:00:13+05:30
76,16,Uniqlo,Wool,Khan and Sons,1,3,2025-06-20 08:26:52+05:30,0,Festival,Formal,Winter,Women,Women Formal Socks - Wool | 'Winter',"Complete your outfit with this Socks, made with Wool for the Winter season. Suits every Women's Formal mood.",2025-06-20 08:26:52+05:30,2025-06-20 08:26:52+05:30
77,16,Puma,Bamboo,Clark-Fox,1,3,2025-05-23 23:45:29+05:30,0,DailyWear,Casual,Winter,Unisex,Unisex Casual Socks - Bamboo | 'Winter',"Complete your outfit with this Socks, made with Bamboo for the Winter season. Suits every Unisex's Casual mood.",2025-05-23 23:45:29+05:30,2025-05-23 23:45:29+05:30
78,16,Nike,Cotton,Dixon-Madden,1,3,2025-06-12 18:39:13+05:30,0,Office,Casual,Winter,Women,Women Casual Socks - Cotton | 'Winter',"Complete your outfit with this Socks, made with Cotton for the Winter season. Suits every Women's Casual mood.",2025-06-12 18:39:13+05:30,2025-06-12 18:39:13+05:30
79,16,Jockey,Cotton,"Henderson, Berg and Lee",1,3,2025-06-06 06:11:55+05:30,0,Office,Casual,Winter,Women,Women Casual Socks - Cotton | 'Winter',"Complete your outfit with this Socks, made with Cotton for the Winter season. Suits every Women's Casual mood.",2025-06-06 06:11:55+05:30,2025-06-06 06:11:55+05:30
80,16,Adidas,Spandex,Dixon-Madden,1,3,2025-05-22 19:11:57+05:30,0,Office,Casual,Winter,Unisex,Unisex Casual Socks - Spandex | 'Winter',"Complete your outfit with this Socks, made with Spandex for the Winter season. Suits every Unisex's Casual mood.",2025-05-22 19:11:57+05:30,2025-05-22 19:11:57+05:30
81,1,H&M,Oxford,Peterson PLC,1,3,2025-06-01 01:09:10+05:30,0,Office,Formal,Winter,Men,Men Formal Shirt - Oxford | 'Winter',This Oxford Shirt is perfect for Winter days. Designed with a Formal fit and it complements any Men's wardrobe.,2025-06-01 01:09:10+05:30,2025-06-01 01:09:10+05:30
82,1,Arrow,Oxford,Eaton-Martin,1,3,2025-06-19 19:19:15+05:30,0,DailyWear,Formal,Winter,Men,Men Formal Shirt - Oxford | 'Winter',This Oxford Shirt is perfect for Winter days. Designed with a Formal fit and it complements any Men's wardrobe.,2025-06-19 19:19:15+05:30,2025-06-19 19:19:15+05:30
83,1,Zara,Poplin,"Colon, Higgins and Jones",1,3,2025-06-13 15:46:51+05:30,0,DailyWear,Casual,Winter,Men,Men Casual Shirt - Poplin | 'Winter',This Poplin Shirt is perfect for Winter days. Designed with a Casual fit and it complements any Men's wardrobe.,2025-06-13 15:46:51+05:30,2025-06-13 15:46:51+05:30
84,1,Van Heusen,Oxford,"Jarvis, Green and Henderson",1,3,2025-06-19 04:04:42+05:30,0,Travel,Formal,Winter,Women,Women Formal Shirt - Oxford | 'Winter',This Oxford Shirt is perfect for Winter days. Designed with a Formal fit and it complements any Women's wardrobe.,2025-06-19 04:04:42+05:30,2025-06-19 04:04:42+05:30
85,1,Allen Solly,Cotton,"Waters, Mckenzie and Rodriguez",1,3,2025-06-22 16:43:37+05:30,0,Travel,Formal,Winter,Men,Men Formal Shirt - Cotton | 'Winter',This Cotton Shirt is perfect for Winter days. Designed with a Formal fit and it complements any Men's wardrobe.,2025-06-22 16:43:37+05:30,2025-06-22 16:43:37+05:30
86,1,Van Heusen,Poplin,Peterson PLC,1,3,2025-06-19 18:32:29+05:30,0,DailyWear,Formal,Winter,Women,Women Formal Shirt - Poplin | 'Winter',This Poplin Shirt is perfect for Winter days. Designed with a Formal fit and it complements any Women's wardrobe.,2025-06-19 18:32:29+05:30,2025-06-19 18:32:29+05:30
